Product Name,Actual Category,Top 5 Categories
"KAKU NANU Toddler Winter Hat Cute Double Pom Pom Earflap Hat,Warm Beanie with Fleece Lined More Colors Suitable for Baby Boys and Girls from 6 Months to 4 Years",Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Hats & Caps,"['Fashion/Boys/Accessories/Hats & Caps/Skullies & Beanies', 'Fashion/Girls/Accessories/Hats & Caps/Skullies & Beanies', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Accessories/Hats & Caps', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Hats & Caps', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Socks & Tights/Leg Warmers']"
IBOBOOM Toddler Snow Pants Baby Boy Winter Clothes Snowsuit Girl Overalls 12 Months-5T,Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Snow Trousers & Bibs,"['Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Snowsuits', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Snowsuits', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Snow Trousers & Bibs', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Snow Trousers & Bibs', 'Fashion/Boys/Clothing/Snow & Rainwear/Snowsuits']"
Sterntaler Baby Boys Scarf,Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Scarves,"['Fashion/Boys/Accessories/Scarves', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Scarves', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Neckerchiefs', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Sunglasses', 'Fashion/Boys/Accessories/Neckerchiefs']"
Simple Joys by Carter's Baby Girls' Hooded Sweatshirt (Pack of 2),Fashion/Baby/Clothing/Baby Girls 0-24m/Hoodies & Tracksuits/Hoodies,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Hoodies & Tracksuits/Sweatshirts', 'Fashion/Girls/Clothing/Hoodies & Sweatshirts/Sweatshirts', 'Fashion/Girls/Clothing/Activewear/Hoodies & Sweatshirts/Sweatshirts', 'Fashion/Girls/Accessories/Kidney Warmers', 'Fashion/Girls/Clothing/Activewear/Sets/Sweatsuits']"
Alunsito Little Baby Girl Boy Winter Warm High Waist Sweatpants Toddler Cotton Drawstring Pants Fleece Lined Corduroy Trousers,Fashion/Boys/Clothing/Activewear/Trousers/Sweatpants,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Hoodies & Tracksuits/Sweatshirts', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Hoodies & Tracksuits/Sweatshirts', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Outfits & Clothing Sets/Trouser & Top Sets', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Tops/T-Shirts', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Tops/Long Sleeves']"
Hatley Baby Girls Raincoat,"Fashion/Baby/Clothing/Baby Girls 0-24m/Coats, Jackets & Gilets/Raincoats","['Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Raincoats', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Coats, Jackets & Gilets/Raincoats', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Rain Trousers', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Snowsuits', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Raincoats']"
"iNszkoos Flexible Polarized Baby Sunglass with Strap Adjustable, Infant Outdoor Sunshade UV 400 Protection Soft Silicone Frame Baby Sunglasses for 0-48 Months Toddler Newborn Boys Girls",Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Sunglasses,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Accessories/Sunglasses', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Sunglasses', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Accessories/Hats & Caps', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Accessories/Scarves', 'Fashion/Girls/Accessories/Eyewear & Accessories/Sunglasses']"
Baby Toddler Boy Leg Warmers Pack of 3 - Black Stars Grey Rainbow Stripes,Fashion/Baby/Clothing/Baby Boys 0-24m/Socks & Tights/Leg Warmers,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Socks & Tights/Leg Warmers', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Socks & Tights/Leg Warmers', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Leggings', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Outfits & Clothing Sets/Trouser & Top Sets', 'Fashion/Boys/Accessories/Cold Weather Sets']"
Sterntaler Baby Boys' Strumpfhose Bagger Pantyhose,Fashion/Baby/Clothing/Baby Boys 0-24m/Socks & Tights/Tights,"['Fashion/Baby/Clothing/Baby Boys 0-24m/Leggings', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Trousers', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Panties', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Training Pants', 'Fashion/Boys/Clothing/Activewear/Leggings']"
NJGRAE Baby Down Gilet Hooded Gilets Boy Girl Clothes Hooded Outerwear Sleeveless Body Warmer Jackets Cartoon Printed Coat Toddler Kids Padded Gilet Lightweight Jacket,"Fashion/Baby/Clothing/Baby Girls 0-24m/Coats, Jackets & Gilets/Gilets","['Fashion/Baby/Clothing/Baby Boys 0-24m/Coats, Jackets & Gilets/Gilets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Coats, Jackets & Gilets/Coats & Jackets', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Coats, Jackets & Gilets/Gilets', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Coats, Jackets & Gilets/Coats & Jackets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Hoodies & Tracksuits/Sweatshirts']"
NAME IT Baby Boys' Pants,Fashion/Baby/Clothing/Baby Boys 0-24m/Jeans,"['Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Training Pants', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Jeans', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Leggings', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Shorts']"
Derouetkia Infant Baby Girl Shorts Colourful Summer with Ruffle Design 3 Pcs,Fashion/Baby/Clothing/Baby Girls 0-24m/Shorts,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Shorts', 'Fashion/Girls/Clothing/Shorts', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Outfits & Clothing Sets/Short & Top Sets', 'Fashion/Baby/Clothing/Unisex', 'Fashion/Girls/Clothing/Outfits & Clothing Sets/Short & Top Sets']"
"Lito Angels Infant Baby Boys Christening Gowns & Clothing Baptism Outfit Romper with Hat Age 0 to 18 Months, White",Fashion/Baby/Clothing/Baby Boys 0-24m/Christening Gowns,"['Fashion/Baby/Clothing/Baby Boys 0-24m/Christening Gowns', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Bodysuits & One-Pieces/Rompers', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Outfits & Clothing Sets/Trouser & Top Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Outfits & Clothing Sets/Short & Top Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Sets']"
"4 Pack Baby Boys' Cotton Basic Diaper Covers Shorts,Little Boys' Shorts Panties Soft Dinosaur Truck Toddler Underwear",Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Panties,"['Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Trousers', 'Fashion/Baby/Clothing/Unisex', 'Fashion/Boys/Clothing/Trousers', 'Fashion/Boys/Clothing/Underwear/Briefs']"
"Amazon Essentials Unisex Toddlers and Babies' Cotton Pull-On Shorts, Multipacks",Fashion/Baby/Clothing/Baby Boys 0-24m/Shorts,"['Fashion/Baby/Clothing/Unisex', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Outfits & Clothing Sets/Short & Top Sets', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Outfits & Clothing Sets/Short & Top Sets', 'Fashion/Boys/Clothing/Outfits & Clothing Sets/Short & Top Sets', 'Fashion/Boys/Clothing/Shorts']"
"Bramble & Bear (3-Pack) Soft Leggings for Babies & Toddlers - Gentle Unisex Baby Leggings for 0-3 Years - Organic Cotton Leggings with Elastic Waist - Cosy, Cute, Comfortable Baby Clothing",Fashion/Baby/Clothing/Baby Boys 0-24m/Leggings,"['Fashion/Girls/Clothing/Socks, Tights & Leggings/Leggings', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Leggings', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Leggings', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Socks & Tights/Leg Warmers', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Socks & Tights/Leg Warmers']"
NAME IT Baby Nbnkab Legging Noos,Fashion/Baby/Clothing/Baby Girls 0-24m/Leggings,"['Fashion/Baby/Clothing/Unisex', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Leggings', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Leggings', 'Fashion/Baby/Shoes/Baby Girls/Trainers', 'Fashion/Baby/Shoes/Baby Boys/Trainers']"
"Koton Babygirls Basic Quilted Jogger Sweatpants Sweatpants, LILA(358),",Fashion/Baby/Clothing/Baby Girls 0-24m/Hoodies & Tracksuits/Tracksuit Bottoms,"['Fashion/Girls/Clothing/Activewear/Trousers/Sweatpants', 'Fashion/Girls/Clothing/Activewear/Sets/Sweatsuits', 'Fashion/Girls/Clothing/Activewear/Gilets', 'Fashion/Girls/Clothing/Activewear/Knitwear', 'Fashion/Girls/Clothing/Activewear/Hoodies & Sweatshirts/Sweatshirts']"
JN&LULU Baby Toddler Kids Boxer Brief 3 Pack Underwear Set-Cartoon Stripe,Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Sets,"['Fashion/Boys/Clothing/Underwear/Boxers', 'Fashion/Boys/Clothing/Underwear/Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Sets', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Underwear/Sets', 'Fashion/Baby/Clothing/Unisex']"
Simple Joys by Carter's Boy's Multi-Pack Muscle Tank Tops Baby and Toddler (Pack of 3),Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/Vests,"['Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/Vests', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/T-Shirts', 'Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/T-Shirts', 'Fashion/Boys/Clothing/Activewear/Shirts & Tees/Sleeveless Tops', 'Fashion/Boys/Clothing/Activewear/Shirts & Tees/T-Shirts']"
Pesaat Winter Kids Fleece Scarf Solid Baby Boys Girls Scarves Wrap Cross Collar Children Neck Warmer for Toddler 1-6Y,Fashion/Baby/Clothing/Baby Girls 0-24m/Accessories/Scarves,"['Fashion/Boys/Accessories/Cold Weather Sets', 'Fashion/Boys/Accessories/Neckerchiefs', 'Fashion/Girls/Accessories/Cold Weather Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Neckerchiefs', 'Fashion/Girls/Accessories/Kidney Warmers']"
MAHUAOYIXI Toddler Boys Sweatshirts Letter Embroidered Crew Neck Long Sleeve T Shirt Baby Pullovers Fall Casual Tops Baby Boys Clothes,Fashion/Boys/Clothing/Hoodies & Sweatshirts/Sweatshirts,"['Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/Long Sleeve Tops', 'Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/T-Shirts', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/Long Sleeves', 'Fashion/Boys/Clothing/Hoodies & Sweatshirts/Sweatshirts', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Hoodies & Tracksuits/Sweatshirts']"
Simple Joys by Carter's Boy's Hooded Sweatshirt (Pack of 2),Fashion/Baby/Clothing/Baby Boys 0-24m/Hoodies & Tracksuits/Hoodies,"['Fashion/Boys/Clothing/Hoodies & Sweatshirts/Sweatshirts', 'Fashion/Boys/Clothing/Hoodies & Sweatshirts/Hoodies', 'Fashion/Boys/Clothing/Activewear/Hoodies & Sweatshirts/Hoodies', 'Fashion/Boys/Clothing/Activewear/Hoodies & Sweatshirts/Sweatshirts', 'Fashion/Boys/Clothing/Activewear/Sets/Sweatsuits']"
AIEOE Baby Boys Girls Down Snow Pants Windproof Warm Trousers Lightweight Puffer Winter Snowsuit Girl Overalls,Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Snow Trousers & Bibs,"['Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Snow Trousers & Bibs', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Snow Trousers & Bibs', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Snowsuits', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Snowsuits', 'Fashion/Boys/Clothing/Snow & Rainwear/Snowsuits']"
Sterntaler Baby Girls' Track Jacket T56-3ms,Fashion/Baby/Clothing/Baby Girls 0-24m/Hoodies & Tracksuits/Track Jackets,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Hoodies & Tracksuits/Track Jackets', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Hoodies & Tracksuits/Tracksuits', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Coats, Jackets & Gilets/Coats & Jackets', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Hoodies & Tracksuits/Hoodies', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Hoodies & Tracksuits/Sweatshirts']"
"Heekcaa Potty Training Pants for Boys Girls，6 Packs Reusable Baby Toddler Training Pants Soft Washable, 2-6 Years",Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Training Pants,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Underwear/Training Pants', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Training Pants', 'Fashion/Baby/Shoes/Baby Boys/Water Shoes', 'Fashion/Baby/Shoes/Baby Girls/Water Shoes', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Swimwear/Board Shorts & Trunks']"
Yanmucy Toddler Baby Girl Clothes Lace Ruffle Cotton Pullovers Sweatshirt Long Sleeve Crewneck Sweatshirts Casual Jumper Top,Fashion/Baby/Clothing/Baby Girls 0-24m/Hoodies & Tracksuits/Sweatshirts,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Tops/Long Sleeves', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Tops/T-Shirts', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Hoodies & Tracksuits/Sweatshirts', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/Long Sleeves', 'Fashion/Girls/Clothing/Hoodies & Sweatshirts/Sweatshirts']"
"KIDSCOOL SPACE Baby Girl Boy Slim Jeans,Little Kid Elastic Waist Ripped Denim Pants",Fashion/Baby/Clothing/Baby Girls 0-24m/Jeans,"['Fashion/Girls/Clothing/Jeans', 'Fashion/Boys/Clothing/Jeans', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Jeans', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Jeans', 'Fashion/Baby/Clothing/Unisex']"
Marky G Apparel Baby Pajama Top,Fashion/Baby/Clothing/Baby Girls 0-24m/Sleepwear & Robes/Pyjama Tops,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Sleepwear & Robes/Pyjama Tops', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Pyjama Tops', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/T-Shirts', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Pyjama Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/Vests']"
